row_number,year,unc_status,comp_major,primary_major,data_science,prereqs,prior_exp,AP_Principles,AP_A,other_comp,prior_time,languages,section,in_person_classes,hours_online_social,hours_online_work,lesson_time,sync_perf,all_sync,own_notes,own_examples,oh_visits,ls_effective,lsqs_effective,programming_effective,qz_effective,oh_effective,tutoring_effective,kaki_effective,pace,difficulty,understanding,interesting,valuable,would_recommend
0,23,Returning UNC Student,No,Advertising and Public Relations,No,"MATH 129P, MATH 130",None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,5,2,2,4,2,2,7,6,6,5,5,,3,5,5,4,5,6,7
1,24,Returning UNC Student,No,Anthropology,No,"MATH 129P, MATH 231",None to less than one month!,,,,,,In-Person,,5 to 10 hours,5 to 10 hours,4,5,4,7,6,0,6,5,7,5,,,6,5,3,7,7,7,7
2,23,Returning UNC Student,No,Biology,No,"MATH 231, MATH 232, MATH 233, MATH 381",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,5 to 10 hours,2,1,1,7,6,0,7,7,7,7,,,,5,5,6,7,7,7
3,24,Returning UNC Student,No,Biology,No,"MATH 130, MATH 231",None to less than one month!,,,,,,,Yes,5 to 10 hours,5 to 10 hours,2,3,1,6,4,4,7,7,7,7,7,7,7,6,6,4,5,4,7
4,22,Returning UNC Student,No,Biology,No,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 233",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,3 to 5 hours,3,1,1,5,4,1,6,6,7,5,,,,5,4,4,6,6,7
5,24,Incoming Transfer Student,No,Biology,Maybe,"MATH 129P, MATH 231, STOR 151",Over 2 years,Yes,Yes,High school course (IB or other),None to less than one month!,"Python, Java / C#, JavaScript / TypeScript, HTML / CSS, net beans, MIT app inventor",Remote,Yes,0 to 2 hours,5 to 10 hours,6,4,3,7,6,1,5,5,4,5,,,7,5,5,6,5,4,4
6,22,Returning UNC Student,No,Biology,No,STOR 155,None to less than one month!,,,,,,Remote,Yes,5 to 10 hours,3 to 5 hours,2,2,2,4,4,0,6,6,4,5,3,3,5,6,6,4,4,6,6
7,24,Returning UNC Student,No,Biology,No,MATH 130,None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,5 to 10 hours,7,2,1,7,5,1,6,5,6,4,4,4,4,5,5,4,5,5,4
8,24,Returning UNC Student,No,Biology,No,"MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,Remote,Yes,5 to 10 hours,3 to 5 hours,6,5,3,7,3,1,6,7,7,7,,,5,4,5,5,7,6,6
9,22,Returning UNC Student,No,Biology,No,"MATH 231, MATH 232, MATH 233, PSYC 210, STOR 155",None to less than one month!,,,,,,Remote,Yes,5 to 10 hours,5 to 10 hours,2,3,2,6,4,2,7,7,7,6,4,7,7,7,7,3,5,6,5
10,24,Returning UNC Student,No,Biology,No,MATH 130,None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,5 to 10 hours,4,7,7,7,4,3,4,6,5,6,,,5,6,7,1,5,5,4
11,22,Returning UNC Student,No,Biology,No,"MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,In-Person,,5 to 10 hours,5 to 10 hours,5,3,4,4,3,2,3,3,2,3,4,3,3,2,7,5,5,3,4
12,23,Returning UNC Student,No,Biology,No,"MATH 231, PSYC 210, STOR 155",2-6 months,No,No,None,1 month or so,"Python, BASIC",In-Person,,5 to 10 hours,5 to 10 hours,6,1,1,7,6,0,5,3,6,4,,,6,6,5,5,5,4,5
13,24,Returning UNC Student,No,Biology,No,"MATH 129P, MATH 130",None to less than one month!,,,,,,In-Person,,5 to 10 hours,5 to 10 hours,3,2,1,7,1,3,7,7,5,5,2,1,7,6,5,3,6,3,6
14,24,Returning UNC Student,No,Biology,No,"MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,5 to 10 hours,5 to 10 hours,6,6,7,4,3,1,4,3,6,5,7,4,4,5,5,4,5,5,6
15,23,Returning UNC Student,No,Biology,No,STOR 155,None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,6,3,5,7,3,0,5,5,6,6,5,5,4,5,5,5,6,5,6
16,24,Returning UNC Student,No,Biology,No,"MATH 129P, MATH 231, MATH 232",7-12 months,No,No,High school course (IB or other),None to less than one month!,"Python, R / Matlab / SAS",In-Person,,3 to 5 hours,3 to 5 hours,7,6,7,7,3,1,6,4,7,5,,,7,4,2,6,7,7,7
17,24,Returning UNC Student,No,Biology,No,MATH 130,None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,5,3,2,7,6,2,7,7,7,7,,,7,6,6,4,5,5,5
18,24,Returning UNC Student,No,Biology,No,"MATH 130, MATH 231",None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,7,3,1,7,2,1,6,6,4,4,,,7,5,6,2,4,4,1
19,24,Returning UNC Student,No,Biology,No,"MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,5 to 10 hours,5 to 10 hours,5,7,7,7,3,2,3,5,4,3,5,5,5,7,7,1,3,5,3
20,24,Returning UNC Student,No,Biology,No,"MATH 129P, MATH 231, MATH 232, STOR 155",2-6 months,Yes,No,High school course (IB or other),None to less than one month!,visual basic,In-Person,,5 to 10 hours,3 to 5 hours,6,6,5,6,7,0,5,6,7,7,,,,4,4,5,7,7,7
21,23,Returning UNC Student,No,Biology,Maybe,"MATH 129P, MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,6,5,3,4,5,0,7,5,7,5,4,4,4,6,4,5,6,7,7
22,24,Returning UNC Student,No,Biology,No,"MATH 129P, MATH 231",7-12 months,No,No,Khan Academy Coding ,7-12 months,not sure ! sorry ,In-Person,,5 to 10 hours,3 to 5 hours,5,3,2,6,5,1,4,1,7,1,7,,,4,4,5,7,7,7
23,24,Returning UNC Student,Yes - Minor,Biology,No,"MATH 129P, MATH 130",None to less than one month!,,,,,,In-Person,,10+ hours,5 to 10 hours,2,1,1,6,6,0,7,7,7,5,,,7,4,3,6,7,7,7
24,24,Returning UNC Student,No,Biology,No,"MATH 130, MATH 231",None to less than one month!,,,,,,In-Person,,3 to 5 hours,0 to 2 hours,2,1,1,2,2,0,6,5,7,2,,,,4,5,5,6,2,5
25,24,Returning UNC Student,No,Biology,No,MATH 231,None to less than one month!,,,,,,In-Person,,5 to 10 hours,5 to 10 hours,7,4,4,7,7,0,7,1,7,2,,,,7,5,3,7,1,5
